frame,time_sec,L_hip_x,L_hip_y,L_hip_visibility,L_knee_x,L_knee_y,L_knee_visibility,L_ankle_x,L_ankle_y,L_ankle_visibility,L_heel_x,L_heel_y,L_heel_visibility,R_hip_x,R_hip_y,R_hip_visibility,R_knee_x,R_knee_y,R_knee_visibility,R_ankle_x,R_ankle_y,R_ankle_visibility,R_heel_x,R_heel_y,R_heel_visibility,L_knee_angle,R_knee_angle,L_shank_len,R_shank_len
0,0.0,557.9813385009766,371.4245796203613,0.9999594688415527,727.2659301757812,374.0664052963257,0.12290084362030029,887.3564147949219,393.59803676605225,0.2888047397136688,915.2599334716797,409.37719345092773,0.4003116488456726,555.7439422607422,416.02508068084717,0.9999719858169556,734.498291015625,411.4779853820801,0.8874495625495911,910.7759094238281,422.359299659729,0.903597891330719,938.9697265625,437.9196310043335,0.6326237320899963,173.93815499900833,175.0105546713351,161.27754925426078,176.61314150446745
1,0.033420927723840345,557.2860717773438,370.94972133636475,0.9999597668647766,728.0799865722656,374.2330026626587,0.12711764872074127,890.2212524414062,393.027606010437,0.29999470710754395,920.5498504638672,410.8032274246216,0.41788992285728455,553.8557815551758,416.0642194747925,0.9999725818634033,733.9351654052734,411.62909030914307,0.8916791081428528,911.8397521972656,423.0931091308594,0.9061083197593689,939.9873352050781,439.3410301208496,0.6444472670555115,174.4893661147663,174.9021688873147,163.2269193872373,178.27356991201512
2,0.06684185544768069,557.2587203979492,370.5669164657593,0.9999586939811707,728.5478210449219,374.21605110168457,0.12879540026187897,892.1014404296875,392.60252952575684,0.30900079011917114,923.9089202880859,411.6515350341797,0.43104469776153564,553.104362487793,416.31497383117676,0.9999719262123108,733.7160491943359,411.73019886016846,0.8940788507461548,912.5389099121094,423.2718515396118,0.9068495035171509,941.4432525634766,440.1682233810425,0.6498674750328064,174.8062574621752,174.8529919109733,164.58386616766438,179.19493648499417
3,0.10026278317152104,558.3321380615234,369.30885314941406,0.9999561309814453,730.2326202392578,374.08352851867676,0.12684890627861023,892.7096557617188,392.59132862091064,0.3082566559314728,924.6724700927734,412.3436737060547,0.43542665243148804,553.5648727416992,416.21304988861084,0.9999702572822571,734.5203399658203,411.8455123901367,0.892796516418457,913.4870910644531,423.409481048584,0.9041852355003357,942.8987884521484,440.7397270202637,0.647937536239624,175.0924618490423,174.9203410704159,163.52775219145917,179.339965902566
4,0.13368371089536138,560.7155609130859,368.06623935699463,0.9999522566795349,731.6272735595703,373.8303279876709,0.12297376990318298,893.6817169189453,392.54927158355713,0.3023833930492401,925.4617309570312,412.5230598449707,0.4307610094547272,554.2414474487305,416.11966609954834,0.9999672174453735,735.3682708740234,411.8238830566406,0.8824782371520996,913.8521575927734,423.4324836730957,0.895468533039093,943.0931091308594,440.7289123535156,0.6335461139678955,175.3425522355072,174.92009234540538,163.1319755960273,178.86100029493278
5,0.16710463861920172,563.70361328125,367.2282314300537,0.9999491572380066,733.1524658203125,373.50202560424805,0.12118012458086014,894.2486572265625,392.5659227371216,0.3021014332771301,925.4647827148438,412.8674125671387,0.43195396661758423,556.348876953125,415.73660373687744,0.9999648332595825,737.0205688476562,411.7862892150879,0.8755978941917419,914.1148376464844,423.4306812286377,0.8894944787025452,943.0976867675781,440.7114887237549,0.6241468191146851,175.37147598082728,174.98552426427378,162.2202671046128,177.47667989557618
6,0.20052556634304208,564.8707962036133,365.64499855041504,0.999947190284729,733.2704162597656,371.79948806762695,0.11904265731573105,893.8805389404297,392.3586845397949,0.2995986044406891,925.0523376464844,412.9849147796631,0.4305879771709442,556.5126419067383,415.41430950164795,0.9999637603759766,737.0917510986328,411.6359567642212,0.8681007623672485,913.6081695556641,423.20597648620605,0.8842377662658691,943.0014038085938,440.6329536437988,0.6147603988647461,174.79847073821932,175.0511759689843,161.9206350873142,176.89519875130833
7,0.23394649406688242,564.661979675293,363.27276706695557,0.9999464154243469,733.1859588623047,369.959192276001,0.11757667362689972,893.7797546386719,391.93292140960693,0.29972004890441895,924.8359680175781,413.07143211364746,0.4278128147125244,555.3748321533203,415.75947761535645,0.9999623894691467,736.9309997558594,411.82276725769043,0.8537867665290833,913.1969451904297,423.1618595123291,0.8767256736755371,942.7571868896484,440.6082344055176,0.5997484922409058,174.48081342619625,175.077106834882,162.09013546141114,176.6302877003322
8,0.26736742179072276,564.7733688354492,362.58204460144043,0.9999435544013977,733.1618499755859,368.8178586959839,0.11103365570306778,893.5720062255859,391.3533067703247,0.2914392650127411,924.7465515136719,413.06623935699463,0.41748565435409546,555.6201171875,415.7750988006592,0.9999582171440125,737.0024871826172,412.0039987564087,0.8148148655891418,912.7159118652344,423.14186096191406,0.8578629493713379,942.4842834472656,440.59587478637695,0.5738893151283264,174.123883338725,175.18201391243977,161.98538405689794,176.06606597582228
9,0.3007883495145631,568.117561340332,362.45402812957764,0.9999343156814575,734.6099090576172,368.6077880859375,0.1032230406999588,893.5171508789062,391.3917589187622,0.28047996759414673,924.4822692871094,413.20974826812744,0.4037902355194092,560.1227951049805,415.77943325042725,0.9999493360519409,738.7907409667969,412.12523460388184,0.766221821308136,912.7080535888672,423.10057640075684,0.8306458592414856,942.4576568603516,440.60179710388184,0.542930543422699,173.9573524610291,175.21736658527553,160.53230463106374,174.26327713331105
